datetime,code,open,close,high,low,vol,amount,p_change
2018-11-01,000300,3185.2,3177.03,3217.8,3173.1,1326533.0,145919311872.0,0.74
2018-10-31,000300,3116.66,3153.82,3168.92,3106.03,1112074.0,117099700224.0,1.4
2018-10-30,000300,3061.93,3110.26,3146.63,3050.77,1160701.0,131767099392.0,1.08
2018-10-29,000300,3157.49,3076.89,3158.81,3062.58,918397.0,108479488000.0,-3.05
2018-10-26,000300,3204.28,3173.64,3218.1,3151.92,1012993.0,106070368256.0,-0.65
2018-10-25,000300,3107.84,3194.31,3197.32,3099.89,1069518.0,113291747328.0,0.19
2018-10-24,000300,3169.46,3188.2,3245.4,3164.29,1109097.0,120954388480.0,0.15
2018-10-23,000300,3273.13,3183.43,3276.02,3163.57,1210132.0,142589181952.0,-2.66
2018-10-22,000300,3159.56,3270.27,3297.38,3159.56,1458620.0,170651303936.0,4.32
2018-10-19,000300,3017.75,3134.95,3137.75,3009.5,988396.0,110951366656.0,2.97
2018-10-18,000300,3097.79,3044.39,3097.79,3043.38,737719.0,79703728128.0,-2.37
2018-10-17,000300,3140.68,3118.25,3149.13,3062.55,768371.0,86132695040.0,0.56
2018-10-16,000300,3128.58,3100.97,3166.09,3089.37,688877.0,75206467584.0,-0.81
2018-10-15,000300,3173.85,3126.45,3183.13,3120.23,696050.0,77137698816.0,-1.4
2018-10-12,000300,3123.37,3170.73,3184.12,3094.97,986111.0,104423079936.0,1.49
2018-10-11,000300,3179.54,3124.11,3209.52,3099.04,1209413.0,125723082752.0,-4.8
2018-10-10,000300,3295.43,3281.6,3315.73,3256.58,644928.0,79166808064.0,-0.22
2018-10-09,000300,3290.17,3288.69,3309.8,3276.13,667232.0,78372937728.0,-0.07
2018-10-08,000300,3361.56,3290.9,3364.46,3285.25,978889.0,114164219904.0,-4.3
2018-09-28,000300,3409.96,3438.87,3444.99,3404.7,843777.0,94880276480.0,1.04
2018-09-27,000300,3415.95,3403.59,3423.71,3394.73,697652.0,87573299200.0,-0.4
2018-09-26,000300,3388.56,3417.24,3448.26,3383.24,931733.0,119113318400.0,1.11
2018-09-25,000300,3375.97,3379.8,3394.38,3367.03,690546.0,82870026240.0,-0.9
2018-09-21,000300,3320.7,3410.49,3410.49,3307.77,1084160.0,123573116928.0,3.03
2018-09-20,000300,3314.88,3310.13,3332.31,3303.07,645610.0,76660842496.0,-0.07
2018-09-19,000300,3262.0,3312.48,3335.99,3258.31,891706.0,109395427328.0,1.32
2018-09-18,000300,3193.64,3269.43,3270.11,3193.64,704250.0,83899138048.0,2.01
2018-09-17,000300,3224.93,3204.92,3230.79,3200.51,522595.0,60650942464.0,-1.15
2018-09-14,000300,3242.83,3242.09,3254.1,3227.94,601306.0,76481208320.0,0.17
2018-09-13,000300,3239.69,3236.57,3249.59,3191.4,672903.0,85887959040.0,1.08
2018-09-12,000300,3216.99,3202.02,3225.6,3194.98,546279.0,68887019520.0,-0.69
2018-09-11,000300,3229.71,3224.21,3245.62,3209.11,584913.0,67722117120.0,-0.18
2018-09-10,000300,3271.38,3230.07,3277.88,3227.85,638170.0,76175581184.0,-1.45
2018-09-07,000300,3273.89,3277.64,3316.62,3253.73,639474.0,81263443968.0,0.45
2018-09-06,000300,3286.66,3262.88,3311.5,3253.76,623002.0,79373139968.0,-1.07
2018-09-05,000300,3349.7,3298.14,3354.2,3298.14,643018.0,80656678912.0,-1.95
2018-09-04,000300,3324.19,3363.9,3370.96,3307.96,670888.0,85892038656.0,1.27
2018-09-03,000300,3320.69,3321.82,3325.61,3291.78,664298.0,81305681920.0,-0.38
2018-08-31,000300,3333.38,3334.5,3356.58,3310.87,762056.0,96091889664.0,-0.5
2018-08-30,000300,3385.81,3351.09,3402.56,3349.47,683852.0,80226050048.0,-1.05
2018-08-29,000300,3393.05,3386.57,3398.71,3377.12,670204.0,79072296960.0,-0.4
2018-08-28,000300,3408.15,3400.17,3416.59,3388.81,754453.0,94945951744.0,-0.19
2018-08-27,000300,3339.39,3406.57,3406.57,3339.26,942700.0,114960965632.0,2.44
2018-08-24,000300,3308.48,3325.33,3353.04,3291.87,637658.0,77197844480.0,0.16
2018-08-23,000300,3308.46,3320.03,3336.11,3285.81,611123.0,80212787200.0,0.37
2018-08-22,000300,3328.97,3307.95,3328.97,3299.39,507870.0,66548535296.0,-0.56
2018-08-21,000300,3271.84,3326.65,3331.71,3270.03,752055.0,97925840896.0,1.82
2018-08-20,000300,3238.22,3267.25,3267.25,3209.01,709042.0,88963383296.0,1.17
2018-08-17,000300,3305.9,3229.62,3311.57,3224.1,673954.0,84452450304.0,-1.44
2018-08-16,000300,3251.86,3276.73,3315.2,3231.56,765473.0,89269174272.0,-0.46
2018-08-15,000300,3371.96,3291.98,3372.14,3288.71,681740.0,83402194944.0,-2.4
2018-08-14,000300,3386.48,3372.91,3391.73,3356.61,606514.0,72121991168.0,-0.51
2018-08-13,000300,3369.98,3390.34,3396.19,3336.7,761915.0,90869293056.0,-0.43
2018-08-10,000300,3398.41,3405.02,3424.04,3380.57,689672.0,85634523136.0,0.22
2018-08-09,000300,3303.48,3397.53,3408.39,3299.62,919575.0,108802318336.0,2.5
2018-08-08,000300,3362.15,3314.51,3368.16,3311.77,792848.0,90958913536.0,-1.61
2018-08-07,000300,3284.98,3368.87,3368.96,3263.5,917839.0,107512225792.0,2.92
2018-08-06,000300,3312.82,3273.27,3344.25,3257.69,779750.0,97517993984.0,-1.27
2018-08-03,000300,3366.66,3315.28,3381.34,3315.2,707969.0,91395989504.0,-1.65
2018-08-02,000300,3434.35,3370.96,3434.35,3322.1,1013087.0,122401284096.0,-2.22
2018-08-01,000300,3530.03,3447.39,3543.61,3446.78,903486.0,107477213184.0,-2.0
2018-07-31,000300,3510.47,3517.66,3528.15,3493.15,679808.0,80022151168.0,0.07
2018-07-30,000300,3520.85,3515.08,3550.9,3489.55,821169.0,96183099392.0,-0.17
2018-07-27,000300,3533.77,3521.23,3545.41,3512.7,701781.0,81192173568.0,-0.42
2018-07-26,000300,3583.32,3536.25,3593.92,3528.64,903496.0,105577283584.0,-1.16
2018-07-25,000300,3589.51,3577.75,3589.98,3566.31,967585.0,112176693248.0,-0.11
2018-07-24,000300,3530.66,3581.71,3596.51,3530.66,1569124.0,177448960000.0,1.59
2018-07-23,000300,3471.86,3525.75,3527.53,3464.65,1190366.0,143960932352.0,0.94
2018-07-20,000300,3426.46,3492.89,3505.93,3398.95,1019847.0,122196951040.0,1.88
2018-07-19,000300,3444.8,3428.34,3466.51,3417.96,684777.0,88804909056.0,-0.09
2018-07-18,000300,3456.61,3431.32,3479.26,3430.16,665303.0,88556871680.0,-0.52
2018-07-17,000300,3466.42,3449.38,3467.19,3420.97,619830.0,85720563712.0,-0.65
2018-07-16,000300,3488.97,3472.09,3506.24,3459.73,682820.0,90754285568.0,-0.59
2018-07-13,000300,3488.5,3492.69,3499.76,3474.91,729558.0,99800186880.0,0.33
2018-07-12,000300,3403.33,3481.06,3499.1,3403.33,963535.0,117805514752.0,2.16
2018-07-11,000300,3398.93,3407.53,3427.57,3375.14,720409.0,89661505536.0,-1.73
2018-07-10,000300,3464.91,3467.52,3474.14,3437.27,695488.0,90127441920.0,0.24
2018-07-09,000300,3378.91,3459.18,3459.32,3378.91,766015.0,100918861824.0,2.8
2018-07-06,000300,3347.06,3365.12,3396.25,3295.73,860975.0,109481943040.0,0.68
2018-07-05,000300,3365.55,3342.44,3398.49,3330.71,815879.0,97544617984.0,-0.63
2018-07-04,000300,3398.78,3363.75,3418.33,3359.09,751580.0,93648560128.0,-1.34
2018-07-03,000300,3410.48,3409.28,3422.04,3319.29,952786.0,129898020864.0,0.04
2018-07-02,000300,3504.46,3407.96,3506.9,3383.5,843514.0,107601543168.0,-2.93
2018-06-29,000300,3431.96,3510.98,3512.38,3425.22,772570.0,97616363520.0,2.55
2018-06-28,000300,3434.94,3423.53,3477.06,3416.95,759180.0,98570526720.0,-1.03
2018-06-27,000300,3525.13,3459.26,3537.66,3441.78,814918.0,107628896256.0,-2.03
2018-06-26,000300,3521.59,3531.11,3541.78,3478.21,849852.0,108132163584.0,-0.82
2018-06-25,000300,3625.8,3560.48,3631.03,3559.03,798770.0,106690347008.0,-1.34
2018-06-22,000300,3567.89,3608.9,3609.08,3542.46,751178.0,89687285760.0,0.44
2018-06-21,000300,3633.56,3592.97,3673.56,3589.49,939085.0,115584147456.0,-1.17
2018-06-20,000300,3602.55,3635.44,3649.34,3578.17,867180.0,112804814848.0,0.4
2018-06-19,000300,3702.67,3621.12,3712.82,3583.02,1607065.0,193848803328.0,-3.53
2018-06-15,000300,3763.04,3753.43,3780.34,3737.43,854888.0,109534904320.0,-0.53
2018-06-14,000300,3774.64,3773.37,3808.16,3759.25,684713.0,99234013184.0,-0.4
2018-06-13,000300,3814.62,3788.34,3817.45,3782.07,663779.0,97185497088.0,-0.98
2018-06-12,000300,3783.19,3825.95,3830.47,3765.26,732062.0,116217143296.0,1.22
2018-06-11,000300,3770.21,3779.98,3792.55,3756.51,687098.0,105597927424.0,0.01
2018-06-08,000300,3819.45,3779.62,3819.46,3759.27,833373.0,107818795008.0,-1.34
2018-06-07,000300,3846.94,3831.01,3859.85,3827.69,802561.0,112365707264.0,-0.17
2018-06-06,000300,3839.68,3837.35,3848.33,3830.9,731172.0,107142045696.0,-0.21
2018-06-05,000300,3811.29,3845.32,3845.56,3800.93,786873.0,121261465600.0,0.99
2018-06-04,000300,3785.19,3807.58,3813.41,3776.62,766243.0,115146465280.0,0.98
2018-06-01,000300,3789.67,3770.59,3802.54,3753.84,778218.0,105934864384.0,-0.84
2018-05-31,000300,3749.3,3802.38,3804.79,3742.53,926668.0,130545418240.0,2.12
2018-05-30,000300,3755.18,3723.37,3767.89,3722.07,879132.0,115858972672.0,-2.12
2018-05-29,000300,3824.19,3804.01,3841.78,3800.67,815526.0,117288583168.0,-0.76
2018-05-28,000300,3816.26,3833.26,3846.55,3799.32,715211.0,100001636352.0,0.44
2018-05-25,000300,3823.74,3816.5,3841.12,3804.14,708363.0,95667544064.0,-0.28
2018-05-24,000300,3853.29,3827.22,3859.1,3823.92,683450.0,93408223232.0,-0.71
2018-05-23,000300,3898.27,3854.58,3898.27,3854.58,837223.0,110684504064.0,-1.32
2018-05-22,000300,3918.82,3906.21,3918.82,3881.17,753687.0,102883344384.0,-0.38
2018-05-21,000300,3925.54,3921.24,3937.46,3913.6,926417.0,120528723968.0,0.47
2018-05-18,000300,3860.16,3903.06,3903.06,3841.9,726139.0,96823853056.0,1.01
2018-05-17,000300,3895.49,3864.05,3899.51,3858.85,590301.0,87104167936.0,-0.74
2018-05-16,000300,3909.82,3892.84,3923.34,3889.19,719136.0,106533928960.0,-0.8
2018-05-15,000300,3920.14,3924.1,3924.34,3892.92,760495.0,106091905024.0,0.38
2018-05-14,000300,3886.87,3909.29,3919.3,3886.87,819760.0,122520051712.0,0.94
2018-05-11,000300,3902.15,3872.84,3903.34,3871.95,733566.0,107715461120.0,-0.52
2018-05-10,000300,3882.84,3893.06,3894.49,3867.31,706678.0,103255138304.0,0.55
2018-05-09,000300,3876.13,3871.62,3878.94,3855.74,667129.0,92322897920.0,-0.18
2018-05-08,000300,3834.61,3878.68,3892.07,3833.73,942151.0,135445864448.0,1.16
2018-05-07,000300,3782.54,3834.19,3834.59,3776.03,872861.0,126354800640.0,1.58
2018-05-04,000300,3784.32,3774.6,3801.52,3770.94,715542.0,98315255808.0,-0.49
2018-05-03,000300,3756.17,3793.0,3797.53,3732.37,939611.0,122740170752.0,0.78
2018-05-02,000300,3769.93,3763.65,3787.3,3744.55,833010.0,120083480576.0,0.18
2018-04-27,000300,3771.04,3756.88,3776.98,3714.64,895317.0,142113619968.0,0.04
2018-04-26,000300,3823.39,3755.49,3828.71,3744.89,871506.0,125772308480.0,-1.91
2018-04-25,000300,3824.59,3828.7,3838.69,3817.03,781726.0,105750446080.0,-0.38
2018-04-24,000300,3769.88,3843.49,3854.43,3769.88,1142195.0,145700519936.0,2.05
